Company Name,Industry,Symbol,Series,ISIN Code,pe_ratio,price
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,67.56894,6003.5
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,96.91126,851.85
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,41.373844,2505.6
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,118.09809,987.3
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,27.059397,1389.5
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,16.914629,546.85
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,32.6384,554.2
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,69.4282,7006.0
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,59.469425,2275.3
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,102.12879,4250.6
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,13.537301,1221.2
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,31.991598,8377.0
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,34.17226,916.5
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,36.57746,2009.2
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,23.5264,13774.0
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,45.172283,120.61
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,5.936595,237.82
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,57.486263,418.5
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,10.225817,319.25
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,34.553253,1933.6
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,46.18633,31500.0
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,62.25202,5617.0
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,107.47244,682.45
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,5.719235,110.61
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,31.541042,1598.5
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,23.039412,1502.4
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,6.8429766,392.65
DLF Ltd.,Realty,DLF,EQ,INE271C01023,48.130314,849.5
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,47.7008,475.1
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,79.784904,6565.5
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,19.741661,1337.3
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,32.702026,5629.0
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,432.32205,255.07
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,9.793559,185.49
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,64.67218,1173.8
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,50.052193,2780.9
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,26.417864,1691.8
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,21.233353,1960.9
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,92.38152,779.7
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,67.09168,1573.3
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,19.635424,4292.5
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,9.311448,669.4
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,39.029552,4886.5
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,49.991165,2263.1
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,29.851562,2071.4
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,20.01546,1424.1
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,39.49901,1986.8
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,77.674416,634.6
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,26.274572,414.35
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,57.10762,764.1
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,14.486815,142.84
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,27.77956,138.62
