Company Name,Industry,Symbol,Series,ISIN Code,pe_ratio,price
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,67.67439,6044
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,95.8607,846.45
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,115.20809,968.9
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,68.723366,6933.5
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,102.13526,4228.4
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,56.13005,5647.5
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,67.1967,3345
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,76.40936,1496.35
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,60.638847,640
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016,75.525764,2428.5
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,23.802626,1771.5
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,88.32301,731.05
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,27.439266,1869.7
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,26.49085,573.85
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,49.84039,29458.25
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,66.99968,30955.8
CG Power & Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,53.69426,597.65
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,73.99409,5718
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,69.58071,1834.15
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,148.40164,732.1
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,40.26926,1028.85
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,40.90952,5831.6
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,42.57599,205.22
Mazagon Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012,27.68902,2256.7
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,31.71337,2817.2
Page Industries Ltd.,Consumer Services,PAGEIND,EQ,INE761H01022,109.78056,41476.3
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,74.885284,3075.65
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,60.61506,1891.85
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,26.80329,2253.7
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,49.76764,1690.7
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,53.38468,3171
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,184.93468,5897.1
Titan Company Ltd.,Consumer Services,TITAN,EQ,INE280A01028,96.01863,3453.6
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,103.47826,1423.35
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015,369.30832,266.51
